genres,original_title,overview,release_date,popularity,poster_path,runtime,directors,title_y
"Horror, Drama, Fantasy",Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",1994-11-11,30.489,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/2162lAT2MP36MyJd2sttmj5du5T.jpg,123,Neil Jordan,"Entretien avec un vampire, Entretien avec un vampire - Les chroniques d'un vampire"
"Drama, Crime, Thriller",The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,27.634,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,106,Bryan Singer,Usual Suspects
"Drama, Crime",Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",2002-12-16,47.341,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/sdYgEkKCDPWNU6KnoL4qd8xZ4w7.jpg,141,Steven Spielberg,Arrête-moi si tu peux
"Adventure, Fantasy, Family",Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",2005-11-16,119.827,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,157,Mike Newell,Harry Potter et la Coupe de feu
"Thriller, Crime",Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,59.938,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,154,Quentin Tarantino,Pulp Fiction
"Comedy, Family, Adventure",Home Alone 2: Lost in New York,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",1992-11-19,37.534,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,120,Chris Columbus,"Maman, j'ai encore raté l'avion!, Maman, j'ai encore raté l'avion... et je suis perdu dans New York, Maman, j'ai raté l'avion, Maman, j'ai raté l'avion!, Mom, I Missed the Plane Again... and I'm Lost in New York"
"Comedy, Crime, Science Fiction",Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",2002-07-26,23.008,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/aSNnxSNc7HftXa6EULM4Lq6mUDn.jpg,93,Jay Roach,"Austin Powers dans Goldmember, Goldmember"
"Drama, Romance, Music",Moulin Rouge!,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",2001-05-24,13.792,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/2kjM5CUZRIU5yOANUowrbJcRL9L.jpg,128,Baz Luhrmann,Moulin Rouge
"Fantasy, Action, Thriller",Underworld: Evolution,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",2006-01-12,27.795,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/yT1EDKhCzAumcZeBoAxqm0nY2H8.jpg,106,Len Wiseman,Underworld 2: Evolution
"Drama, Romance",花樣年華,Two neighbors become intimate after discovering that their spouses are having an affair with one another.,2000-09-29,24.017,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,99,Kar-Wai Wong,In the Mood for Love
